"","Year","Round","Region Number","Region Name","Seed1","Score1","Team1","Team2","Score2","Seed2"
"265",1993,1,2,"West",1,84,"Michigan","Coastal Carolina",53,16
"266",1993,1,2,"West",2,61,"Arizona","Santa Clara",64,15
"267",1993,1,2,"West",3,92,"Vanderbilt","Boise St",72,14
"268",1993,1,2,"West",4,78,"Georgia Tech","Southern",93,13
"269",1993,1,2,"West",5,68,"New Mexico","George Washington",82,12
"270",1993,1,2,"West",6,75,"Illinois","Long Beach St",72,11
"271",1993,1,2,"West",7,75,"Temple","Missouri",61,10
"272",1993,1,2,"West",8,70,"Iowa St","UCLA",81,9
"273",1993,1,3,"East",1,85,"North Carolina","East Carolina",65,16
"274",1993,1,3,"East",2,93,"Cincinnati","Coppin St",66,15
"275",1993,1,3,"East",3,54,"Massachusetts","Pennsylvania",50,14
"276",1993,1,3,"East",4,94,"Arkansas","Holy Cross",64,13
"277",1993,1,3,"East",5,85,"St Johns","Texas Tech",67,12
"278",1993,1,3,"East",6,78,"Virginia","Manhattan",66,11
"279",1993,1,3,"East",7,93,"New Mexico St","Nebraska",79,10
"280",1993,1,3,"East",8,74,"Rhode Island","Purdue",68,9
"281",1993,1,4,"Midwest",1,97,"Indiana","Wright St",54,16
"282",1993,1,4,"Midwest",2,94,"Kansas","Ball St",72,15
"283",1993,1,4,"Midwest",3,105,"Duke","Southern Illinois",70,14
"284",1993,1,4,"Midwest",4,76,"Louisville","Delaware",70,13
"285",1993,1,4,"Midwest",5,74,"Oklahoma St","Marquette",62,12
"286",1993,1,4,"Midwest",6,66,"California","LSU",64,11
"287",1993,1,4,"Midwest",7,80,"BYU","SMU",71,10
"288",1993,1,4,"Midwest",8,55,"New Orleans","Xavier",73,9
"289",1994,1,1,"West",1,76,"Missouri","Navy",53,16
"290",1994,1,1,"West",2,81,"Arizona","Loyola Maryland",55,15
"291",1994,1,1,"West",3,67,"Louisville","Boise St",58,14
"292",1994,1,1,"West",4,92,"Syracuse","Hawaii",78,13
"293",1994,1,1,"West",5,57,"California","Wisconsin Green Bay",61,12
"294",1994,1,1,"West",6,74,"Minnesota","Southern Illinois",60,11
"295",1994,1,1,"West",7,57,"Virginia","New Mexico",54,10
"296",1994,1,1,"West",8,72,"Cincinnati","Wisconsin",80,9
"297",1994,1,2,"Midwest",1,94,"Arkansas","North Carolina A&T",79,16
"298",1994,1,2,"Midwest",2,78,"Massachusetts","Southwest Texas St",60,15
"299",1994,1,2,"Midwest",3,78,"Michigan","Pepperdine",74,14
"300",1994,1,2,"Midwest",4,65,"Oklahoma St","New Mexico St",55,13
"301",1994,1,2,"Midwest",5,102,"UCLA","Tulsa",112,12
"302",1994,1,2,"Midwest",6,91,"Texas","Western Kentucky",77,11
"303",1994,1,2,"Midwest",7,66,"St Louis","Maryland",74,10
"304",1994,1,2,"Midwest",8,77,"Illinois","Georgetown",84,9
"305",1994,1,3,"East",1,71,"North Carolina","Liberty",51,16
"306",1994,1,3,"East",2,64,"Connecticut","Rider",46,15
"307",1994,1,3,"East",3,64,"Florida","James Madison",62,14
"308",1994,1,3,"East",4,61,"Temple","Drexel",39,13
"309",1994,1,3,"East",5,84,"Indiana","Ohio",72,12
