"","Year","Round","Seed1","Score1","Team1","Team2","Score2","Seed2","W1","L1","Pts1","Opp1","MOV1","SOS1","OSRS1","DSRS1","SRS1","W2","L2","Pts2","Opp2","MOV2","SOS2","OSRS2","DSRS2","SRS2"
"69",1997,1,3,70,"Georgia","Chattanooga",73,14,24,9,72,65.9,6.06,7.03,6.5,6.59,13.09,24,11,76.6,65.2,11.4,-5.22,0.56,2.03,2.59
"70",1997,1,5,66,"Maryland","College of Charleston",75,12,21,11,75.2,66.8,8.44,9.08,11.32,6.19,17.52,29,3,78.3,65.9,12.38,-6.84,4.32,1.54,5.86
"71",1997,1,7,59,"Marquette","Providence",81,10,22,9,68,57.8,10.26,3.19,2.61,10.84,13.45,24,12,76.5,70.1,6.39,8.31,9.8,4.37,14.17
"72",1998,1,3,61,"South Carolina","Richmond",62,14,23,8,71.3,67.4,3.97,8.77,4.81,7.7,12.51,23,8,70,61.9,8.03,-1.7,1.04,5.3,6.34
"73",1998,1,6,68,"Xavier","Washington",69,11,22,8,83.5,68.8,14.7,4.76,15.11,4.34,19.46,20,10,78.6,76.6,2,8.28,10.84,-0.56,10.28
"74",1998,1,7,52,"Temple","West Virginia",82,10,21,9,65.7,60.7,5,7.5,-1.6,14.1,12.5,24,9,80.2,69.2,11.06,6.95,12.02,4.22,16.24
"75",1998,1,4,69,"Ole Miss","Valparaiso",70,13,22,7,80.5,68.1,12.41,7.07,12.39,4.84,17.22,23,10,73.9,68.4,5.55,-2.66,-0.21,1.97,1.76
"76",1998,1,5,87,"TCU","Florida St",96,12,27,6,97.2,77.9,19.36,2.7,25.89,-3.6,22.29,18,14,71.5,69.3,2.16,10.78,5.71,7.23,12.93
"77",1998,1,6,72,"Clemson","Western Michigan",75,11,18,14,72.2,65.3,6.84,10.33,6.4,10.77,17.17,21,8,78.8,70.4,8.38,1.9,8.48,1.8,10.28
"78",1998,1,7,64,"St Johns","Detroit",66,10,22,10,72.9,68.2,4.75,6.76,5.28,6,11.28,25,6,74.6,63.1,11.52,0.49,3.3,6.57,9.86
"79",1998,1,7,46,"Massachusetts","St Louis",51,10,21,11,69.7,65,4.72,7.27,2.82,9.18,11.99,22,11,67.3,63.3,3.97,5.5,-0.27,9.74,9.47
"80",1999,1,5,32,"Wisconsin","Southwest Missouri St",43,12,22,10,62.1,55.2,6.91,10.38,-0.72,18.01,17.29,22,11,73.2,65.8,7.3,6.51,7.17,6.65,13.82
"81",1999,1,7,54,"Texas","Purdue",58,10,19,13,68.4,64.9,3.53,7.2,3.36,7.53,10.89,21,13,68.5,65.7,2.79,10.44,4.72,8.52,13.23
"82",1999,1,4,60,"Arizona","Oklahoma",61,13,22,7,82.2,75.2,6.97,8.35,16.55,-1.24,15.31,22,11,68.1,60,8.06,4.97,3.5,9.78,13.28
"83",1999,1,7,58,"Washington","Miami Ohio",59,10,17,12,74.2,71.5,2.72,10.04,9.12,2.53,11.64,24,8,67.6,60.4,7.19,4.41,0.8,10.8,11.6
"84",1999,1,5,53,"UCLA","Detroit",56,12,22,9,77.2,70.7,6.48,8.86,10.39,4.89,15.28,25,6,63.4,55.3,8.16,-0.17,-5.28,13.38,8.1
"85",1999,1,7,58,"Louisville","Creighton",62,10,19,11,76.9,69.8,7.1,8.28,12.45,2.93,15.38,22,9,76,68.6,7.39,4.87,9.06,3.2,12.26
"86",1999,1,3,74,"North Carolina","Weber St",76,14,24,10,71.4,64.9,6.53,10.24,5.68,11.09,16.77,25,8,79.1,73,6.12,0.19,9.04,-3.75,5.29
"87",1999,1,7,63,"Minnesota","Gonzaga",75,10,17,11,68.9,65.3,3.61,9.92,5.57,7.96,13.53,28,7,78.4,65.1,13.23,2.21,9.91,5.13,15.03
"88",2000,1,7,66,"Louisville","Gonzaga",77,10,19,12,73.2,66.2,7,8.76,6.78,8.15,14.93,26,9,77.7,66,11.69,4.64,11.05,5.33,16.38
"89",2000,1,6,57,"Indiana","Pepperdine",77,11,20,9,77.7,68.4,9.24,10.22,13.46,5.97,19.43,25,9,73,63.2,9.76,3.34,5.34,7.77,13.11
"90",2000,1,7,71,"Oregon","Seton Hall",72,10,22,8,75.6,68.2,7.4,8.53,8.21,6.53,14.74,22,10,71.7,66.2,5.53,5.11,5.35,5.29,10.64
"91",2001,1,7,63,"Wake Forest","Butler",79,10,19,11,76.5,66.5,10.03,10.5,9.36,11.17,20.53,24,8,69.6,60.8,8.81,3.98,1.17,11.38,12.55
"92",2001,1,4,68,"Oklahoma","Indiana St",70,13,26,7,74.4,64.3,10.06,5.5,5.73,9.83,15.56,22,12,72.9,67.8,5.12,2.51,4.56,2.41,6.97
"93",2001,1,5,85,"Virginia","Gonzaga",86,12,20,9,85,74.8,10.21,8.73,16.17,2.77,18.93,26,7,82.4,68.8,13.58,0.32,12.17,0.4,12.57
"94",2001,1,6,65,"Texas","Temple",79,11,25,9,70.5,65,5.44,8.89,3.82,10.44,14.25,24,13,70.4,63.9,6.43,9.77,3.63,12.57,16.2
"95",2001,1,5,68,"Ohio St","Utah St",77,12,20,11,71.2,63.6,7.52,8.16,5.31,10.36,15.68,28,6,70.7,57.6,13.09,-1.48,-1.32,11.31,9.99
"96",2001,1,2,57,"Iowa St","Hampton",58,15,25,6,79.1,68.2,10.84,4.87,9.99,5.91,15.9,25,7,77.2,70.2,7.03,-10.6,2.25,-5.91,-3.66
"97",2001,1,4,73,"Indiana","Kent St",77,13,21,13,70.8,64.3,6.53,11.05,5.87,11.71,17.58,24,10,70.3,62.3,8.03,1.44,0.34,8.34,8.69
"98",2001,1,6,49,"Wisconsin","Georgia St",50,11,18,11,59.4,56.6,2.83,12.08,-5.24,20.14,14.91,29,5,79.4,68.7,10.71,-3.72,6.59,-1.34,5.25
"99",2001,1,7,61,"Arkansas","Georgetown",63,10,20,11,79.9,68.8,11.1,6.15,11.07,6.18,17.25,25,8,78,67.5,10.48,1.58,7.02,5.04,12.06
"100",2002,1,4,89,"USC","UNC Wilmington",93,13,22,10,77.9,69.8,8.19,8.31,9.9,6.59,16.49,23,10,67.9,61.6,6.24,-0.08,-1.99,8.15,6.17
"101",2002,1,7,61,"Oklahoma St","Kent St",69,10,23,9,71.7,64.1,7.59,6.81,2.62,11.78,14.4,30,6,75.9,64,11.86,2.1,5.71,7.97,13.67
"102",2002,1,5,80,"Miami","Missouri",93,12,24,8,74.8,67.4,7.47,5.53,7.14,5.86,13,24,12,79.9,72.5,7.42,6.8,11.56,2.66,14.22
"103",2002,1,6,66,"Gonzaga","Wyoming",73,11,29,4,81.1,66.6,14.55,0.75,8.89,5.01,13.9,22,9,75,68.7,6.29,2.72,6.38,2.24,8.62
"104",2002,1,5,69,"Marquette","Tulsa",71,12,26,7,73.1,60.7,12.39,4.78,4.38,12.79,17.17,27,7,80.2,69.5,10.68,2.3,10.81,1.85,12.67
"105",2002,1,6,68,"Texas Tech","Southern Illinois",76,11,23,9,79.1,71.6,7.5,7.22,10.66,4.06,14.72,28,8,75.5,67.4,8.11,1.66,6.37,3.41,9.77
"106",2002,1,5,82,"Florida","Creighton",83,12,22,9,80.5,66.6,13.9,8.37,13.8,8.48,22.27,23,9,75.7,68.7,7,1.39,5.37,3.02,8.39
"107",2003,1,4,71,"Dayton","Tulsa",84,13,24,6,72.7,66.9,5.83,5.17,7,4,11,23,10,73.4,65.3,8.12,2.29,4.69,5.72,10.41
"108",2003,1,6,73,"Creighton","Central Michigan",79,11,29,5,79.1,64.8,14.29,1.03,10.68,4.64,15.32,25,7,79.8,73.3,6.47,1.79,9.09,-2.37,6.72
"109",2003,1,7,71,"Memphis","Arizona St",84,10,23,7,74.4,66.4,7.97,5.27,7.76,5.47,13.23,20,12,77,70.5,6.47,9.27,9.79,5.22,15.02
"110",2003,1,5,46,"Mississippi St","Butler",47,12,21,10,69.4,59.7,9.65,8.01,3.99,13.66,17.65,27,6,67.5,60.2,7.36,2.24,-0.54,9.65,9.11
