Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
241,New Hampshire,AEC,10,17,65.4,70,-4.52,-4.55,-7.07,-3.21,-10.28,1998
242,Western Carolina,Southern (North),12,15,72.1,73.3,-1.22,-6.36,-2.7,-8,-10.7,1998
243,Sam Houston State,Southland,9,17,69.4,74,-4.58,-6.39,-5.91,-5.06,-10.97,1998
244,Maryland-Baltimore County,Big South,14,14,70.6,71.1,-0.46,-9.37,-5.2,-5.81,-11.01,1998
245,Ohio,MAC (East),5,21,64,77.5,-13.5,2.43,-6.31,-4.76,-11.07,1998
246,Eastern Kentucky,OVC,10,17,70.3,76,-5.78,-4.95,-4.1,-7.01,-11.11,1998
247,San Jose State,WAC (Pacific),3,23,59.7,76.7,-17.08,4.73,-8.95,-2.17,-11.12,1998
248,Kansas City,Mid-Cont,9,18,68.2,72.7,-4.52,-5.32,-6.65,-4.51,-11.16,1998
249,VMI,Southern (North),14,13,75.4,74.9,0.56,-5.66,0.3,-11.58,-11.27,1998
250,UT Arlington,Southland,13,16,71.7,74.1,-2.48,-7.5,-5.88,-5.47,-11.35,1998
251,Wagner,NEC,13,16,73.4,76.4,-2.97,-7.33,-2.62,-8.93,-11.54,1998
252,Central Michigan,MAC (West),5,21,68.8,81.4,-12.65,2.47,-0.96,-10.62,-11.57,1998
253,East Tennessee State,Southern (North),11,16,65.9,66.9,-1.04,-8.39,-10.04,-1.54,-11.59,1998
254,Cornell,Ivy,9,17,62.7,65.3,-2.69,-8.21,-9.96,-1.69,-11.65,1998
255,Centenary (LA),TAAC (West),10,20,69.1,73.8,-4.73,-7.41,-8.01,-4.14,-12.14,1998
256,Robert Morris,NEC,8,19,63,68.5,-5.48,-6.13,-12.56,0.28,-12.28,1998
257,Stetson,TAAC (East),11,15,69.8,73,-3.19,-8.24,-6.37,-5.91,-12.28,1998
258,Alcorn State,SWAC,12,15,73.9,75.6,-1.63,-8.28,-3.6,-8.9,-12.49,1998
259,UNC Greensboro,Southern (North),9,19,63.7,70.9,-7.25,-4.45,-9.83,-2.86,-12.69,1998
260,Grambling,SWAC,16,12,72.5,73.5,-1,-9.79,-8.31,-5.05,-13.35,1998
261,Columbia,Ivy,11,15,57.2,62.2,-4.96,-8.14,-16.26,2.8,-13.46,1998
262,Maine,AEC,7,20,71.1,76.6,-5.48,-4.09,-3.43,-10.23,-13.65,1998
263,Southern Utah,Mid-Cont,7,20,68.9,76,-7.07,-5.41,-6.25,-7.64,-13.89,1998
264,Morgan State,MEAC,12,16,72.6,77.8,-5.11,-8.88,-3.57,-10.41,-13.99,1998
265,Drake,MVC,3,24,61,75.3,-14.33,1.6,-9.78,-4.28,-14.06,1998
266,Georgia Southern,Southern (South),10,18,65.1,68.3,-3.14,-6.93,-10.41,-3.81,-14.22,1998
267,Stephen F. Austin,Southland,10,16,71.5,78,-6.46,-6.29,-4.31,-10.06,-14.37,1998
268,Hampton,MEAC,14,12,68.1,71.2,-3.15,-11.46,-9.02,-5.59,-14.61,1998
269,Liberty,Big South,11,17,64.3,68.9,-4.64,-8.26,-10.55,-4.16,-14.72,1998
270,Furman,Southern (South),9,20,61.7,67.4,-5.66,-8.12,-12.39,-2.77,-15.16,1998
