"","Year","Seed1","Score1","Team1","Team2","Score2","Seed2","W1","L1","Pts1","Opp1","MOV1","SOS1","OSRS1","DSRS1","SRS1","W2","L2","Pts2","Opp2","MOV2","SOS2","OSRS2","DSRS2","SRS2","Upset","WP1","WP2","upsetMOV","seedDiff"
"111",1988,7,92,"Maryland","Santa Barbara",82,10,18,13,75.8,71.8,3.97,8.75,6.75,5.16,11.91,22,8,71.7,67.9,3.87,6.11,1.05,8.78,9.84,0,0.58,0.73,-10,3
"112",1989,1,77,"Illinois","McNeese St",71,16,31,5,86.4,73.6,12.78,12.42,16.18,8.49,24.68,16,14,73.8,72.9,0.83,-3.23,-5.72,3.32,-2.4,0,0.86,0.53,-6,15
"113",1989,2,104,"Syracuse","Bucknell",81,15,30,8,89.7,76.1,13.66,9.23,18.36,3.95,22.31,23,8,81,75.5,5.52,-7.34,2.05,-5.42,-3.37,0,0.79,0.74,-23,13
"114",1989,3,85,"Missouri","Creighton",69,14,29,8,88,76.8,11.16,10.49,13.65,7.15,20.8,20,11,74.6,72.9,1.74,1.7,-0.05,3.49,3.45,0,0.78,0.65,-16,11
"115",1989,4,76,"Louisville","Arkansas Little Rock",71,13,24,9,82.2,74,8.27,9.28,9.49,8.1,17.59,23,8,92,80.9,11.1,-1.39,14.16,-4.29,9.87,0,0.73,0.74,-5,9
"116",1989,5,120,"Arkansas","Loyola Marymount",101,12,25,7,89.7,75.4,14.25,2.76,14.14,3.12,17.26,20,11,112.5,107.3,5.16,2.88,37.37,-30.03,7.34,0,0.78,0.65,-19,7
"117",1989,6,70,"Georgia Tech","Texas",76,11,20,12,80.2,74.2,6,8.19,7.15,7.04,14.19,25,9,94.3,87.7,6.62,3.4,20.26,-10.57,9.69,1,0.62,0.74,6,5
"118",1989,7,46,"Florida","Colorado St",68,10,21,13,76.1,76.4,-0.32,7.83,3.47,3.4,6.86,23,10,64.4,61,3.42,4.73,-8.72,16.26,7.54,1,0.62,0.7,22,3
"119",1989,1,72,"Oklahoma","East Tennessee St",71,16,30,6,102.2,88.5,13.69,10.25,27.4,-3.45,23.95,20,11,85.5,82.2,3.32,-0.43,6.5,-7.04,-0.54,0,0.83,0.65,-1,15
"120",1989,2,93,"North Carolina","Southern",79,15,29,8,90,79.7,10.32,12.41,19.46,3.27,22.73,20,11,97.3,89.2,8.03,-5.9,14.33,-14.86,-0.53,0,0.78,0.65,-14,13
"121",1989,3,93,"Michigan","Xavier",87,14,30,7,91.7,74.8,16.92,12.06,19.84,7.79,27.63,21,12,82.8,78.1,4.7,2.52,7.08,-1.31,5.77,0,0.81,0.64,-6,11
"122",1989,4,83,"Florida St","Middle Tennessee St",97,13,22,8,91.3,80.7,10.57,4.19,16.19,-1.07,15.12,23,8,90.6,79.6,11.06,-2.67,10.72,-5.42,5.3,1,0.73,0.74,14,9
"123",1989,5,100,"Virginia","Providence",97,12,22,11,81.9,78,3.97,11.17,9.36,6.02,15.38,18,11,85.3,74.8,10.52,5.82,12.4,3.87,16.27,0,0.67,0.62,-3,7
"124",1989,6,84,"Alabama","South Alabama",86,11,23,8,76,69.9,6.06,3.52,-0.6,10.19,9.59,23,9,91,79.6,11.44,2.26,14.92,-1.4,13.52,1,0.74,0.72,2,5
"125",1989,7,84,"UCLA","Iowa St",74,10,21,10,81.2,77,4.19,9.51,9.54,4.36,13.9,17,12,86.6,85.5,1.14,8.89,12.58,-2.56,10.03,0,0.68,0.59,-10,3
"126",1989,1,50,"Georgetown","Princeton",49,16,29,5,80,65.4,14.56,10.36,4.94,15.82,20.76,19,8,58.3,53,5.33,-7.13,-20.25,18.08,-2.17,0,0.85,0.7,-1,15
